Year	Latitude	Longitude	meanprecipitation
1997	46.405725	95.714578	632.1544805721
1997	45.172637	96.772261	568.159332836
1997	45.623397	96.947551	559.5189108807
1997	45.362283	97.593734	560.9700589443
1997	46.265219	96.93796	571.7294344898
1997	46.927003	97.252375	596.3226155858
1997	46.94255	98.070195	494.8634186488
1997	46.469278	99.504585	433.5520738067
1997	46.107756	98.496518	466.1909822429
1997	46.464195	98.526057	474.0718216028
1997	45.589254	98.352175	514.2263900547
1997	45.41168	99.205362	491.1141868501
1997	45.784249	99.211421	441.3603724723
1997	45.064276	99.949631	539.1243465642
1997	46.713789	101.279743	367.0000015403
1997	47.653055	101.421794	352.5865692159
1997	46.971843	100.462001	366.8668608101
1997	46.935385	99.742727	401.957286679
1997	46.971103	98.957592	450.55452389
1997	48.265551	98.737329	481.6695921576
