Year	Latitude	Longitude	maxtemperature
1997	45.172637	96.772261	307.7216627916
1997	45.623397	96.947551	307.7329067232
1997	45.362283	97.593734	307.4859932199
1997	46.265219	96.93796	307.3813365516
1997	46.927003	97.252375	307.132914214
1997	46.94255	98.070195	307.111131599
1997	46.469278	99.504585	307.8375339288
1997	46.107756	98.496518	307.6619070927
1997	46.464195	98.526057	307.5453603165
1997	45.589254	98.352175	308.1991182996
1997	45.41168	99.205362	307.6838055716
1997	45.784249	99.211421	307.8499565794
1997	45.064276	99.949631	308.1864900861
1997	46.713789	101.279743	309.9363900204
1997	47.653055	101.421794	309.6958708222
1997	46.971843	100.462001	309.1175754356
1997	46.935385	99.742727	308.5882812484
1997	46.971103	98.957592	307.9635676693
1997	48.265551	98.737329	306.0203895866
1997	48.071738	99.361987	306.7070766919
