Year	Latitude	Longitude	mintemperature
1997	35.717705	113.749689	265.8486196478
1997	36.214236	115.013819	267.9049928347
1997	32.773942	113.910905	272.4876680673
1997	33.729828	116.002239	271.8305341728
1997	34.196398	118.261862	272.4918328804
1997	34.358742	119.133143	270.1597921295
1997	35.346629	118.729506	268.7357663826
1997	34.537378	120.038485	272.0053140963
1997	30.770894	102.71986	260.1190690437
1997	37.318831	104.04411	249.193711523
1997	33.361605	104.469837	257.2873888808
1997	34.93205	108.000255	255.6325821131
1997	32.128237	111.783018	269.75507801
1997	33.346541	112.495534	271.1369510998
1997	35.829692	111.773728	257.7186017135
1997	37.275118	111.815413	257.8260414847
1997	37.623064	109.78932	257.8964856545
1997	36.509669	106.693983	254.3726818591
1997	39.599352	107.90978	253.494311191
1997	39.972606	108.200685	252.0675876225
1997	37.831622	111.450886	256.2611381275
1997	39.710827	112.794262	255.5605118461
1997	40.125887	109.517748	252.9595758119
1997	42.228788	110.679842	246.1389585958
1997	43.055303	108.605531	245.1028176033
1997	41.660339	108.875676	245.8661725943
1997	41.70359	106.933153	245.7514516483
1997	42.566985	101.072622	244.042013918
1997	44.002349	102.823802	244.5811170558
1997	25.601043	81.206777	274.4066946827
1997	40.943554	72.692218	259.56305539
1997	44.564906	68.370703	249.8174411414
1997	44.967009	67.609354	247.4706755899
1997	44.973012	70.444727	244.9122177972
1997	43.808348	70.330375	250.9948666907
1997	43.926488	71.842264	247.3064654452
1997	44.468791	72.112168	244.7645083711
1997	44.724021	71.732736	244.4524543425
1997	44.652419	71.289383	244.3220855865
1997	45.917678	69.104548	242.6943040177
1997	44.108971	73.777573	246.8460884104
1997	44.594374	74.31067	245.750427323
1997	44.75271	73.705648	248.2310866954
1997	44.488113	75.074311	245.366840387
1997	45.489515	83.384019	250.629511919
1997	46.321819	84.52063	245.4993193199
1997	46.167981	85.303756	247.4666727408
1997	45.513164	85.450392	253.1789785705
1997	45.805101	86.901373	248.218165674
1997	46.020758	86.199352	249.8664807679
1997	47.080077	86.564108	250.6402359983
1997	46.656597	87.584028	246.8001955205
1997	45.544174	87.509892	246.7529280513
1997	45.346899	87.991198	245.183613798
1997	45.259204	89.06819	242.1126011428
1997	45.713791	89.536693	241.7517458823
1997	46.488054	89.788314	245.8440743892
1997	46.049848	89.501254	242.6193795296
1997	46.998305	88.652066	247.953773913
1997	47.216604	89.500461	246.8249248055
1997	47.681981	88.148802	248.2664518911
1997	47.517111	91.411704	240.1919402161
1997	47.538571	90.29019	241.0778336718
1997	46.546291	90.665154	243.9651764871
1997	45.211656	90.504853	240.1731127048
1997	45.472734	91.136745	238.3759110148
1997	46.463316	91.89258	240.1351208854
1997	46.634199	91.177282	243.6547306508
1997	46.602446	93.41976	238.8931732422
1997	45.865255	92.367978	238.0414394486
1997	45.46803	92.453154	240.4574627717
1997	45.555235	94.610482	240.8011156855
1997	46.020484	94.266619	239.5765166003
1997	46.951427	94.333773	238.3677250936
1997	47.878825	94.986698	238.8006823654
1997	47.490843	93.613128	238.7961094015
1997	48.24549	93.782842	238.7055287976
1997	48.7681	94.904634	239.4491404311
1997	48.768439	98.46379	237.3143159183
1997	48.376979	97.72223	238.2909440137
1997	47.926003	97.450851	238.9465440954
1997	48.362728	96.357761	238.3206570341
1997	48.761066	95.82153	237.2290778042
1997	48.069247	96.037725	239.2940240353
1997	47.774254	96.400027	238.6073492792
1997	47.575873	95.371117	238.8832045105
1997	46.937629	95.741757	239.1696464653
1997	46.362335	96.476657	239.6056616363
1997	46.405725	95.714578	239.8717599169
1997	45.172637	96.772261	242.0855925633
1997	45.623397	96.947551	242.0885471991
1997	45.362283	97.593734	241.676656947
1997	46.265219	96.93796	240.1741734851
1997	46.927003	97.252375	240.1871215222
1997	46.94255	98.070195	241.1084149658
1997	46.469278	99.504585	240.7582322528
1997	46.107756	98.496518	241.8854928297
1997	46.464195	98.526057	241.7360372676
1997	45.589254	98.352175	240.2165218958
1997	45.41168	99.205362	241.8472360482
1997	45.784249	99.211421	241.9197855466
1997	45.064276	99.949631	243.6678330962
1997	46.713789	101.279743	241.4320590766
1997	47.653055	101.421794	240.3603552678
1997	46.971843	100.462001	241.058923497
1997	46.935385	99.742727	240.5313063028
1997	46.971103	98.957592	241.3399202103
1997	48.265551	98.737329	238.5755608508
1997	48.071738	99.361987	239.2228188915
